,content,marked,relative,N_of_components,Neg_comp,Neg_elem,Noun_comp,Noun_elem,Verb_comp,Verb_elem,Adj_comp,Adj_elem,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,N_of_components_accuracy,Neg_comp_accuracy,Neg_elem_accuracy,Noun_comp_accuracy,Noun_elem_accuracy,Verb_comp_accuracy,Verb_elem_accuracy,Adj_comp_accuracy,Adj_elem_accuracy
35,bumpy.out,1.0,0.0,4.0,0.75,0.384615385,1.0,0.384615385,0.25,0.025641026,1.0,0.58974359,35.0,37.0,94.0,95.0,,,,,,,,,,,1,1,,,,,1,1
36,complete.out,0.0,0.0,4.0,0.5,0.297297297,1.0,0.513513514,1.0,0.243243243,1.0,0.243243243,7.0,20.0,49.0,90.0,,,,,,,,,,,,,,,,,,
37,incomplete.out,1.0,0.0,9.0,0.777777778,0.271428571,1.0,0.371428571,0.888888889,0.4,0.888888889,0.228571429,4.0,7.0,44.0,49.0,77.0,89.0,116.0,117.0,146.0,,,,,1,1,,,,,1,,
38,open.out,0.0,0.0,2.0,1.0,0.368421053,1.0,0.263157895,1.0,0.315789474,1.0,0.421052632,121.0,132.0,,,,,,,,,,,,,,,,,,,,
39,closed.out,1.0,0.0,1.0,1.0,0.090909091,1.0,0.181818182,1.0,0.363636364,1.0,0.454545455,121.0,,,,,,,,,,,,,,,,,,,1,,1
40,perfect.out,0.0,0.0,3.0,1.0,0.5,1.0,0.444444444,1.0,0.333333333,0.666666667,0.222222222,75.0,88.0,137.0,,,,,,,,,,,,,,,,,,,
41,imperfect.out,1.0,0.0,5.0,1.0,0.311111111,1.0,0.266666667,1.0,0.577777778,0.8,0.155555556,44.0,49.0,68.0,74.0,77.0,,,,,,,,,1,,,,,,1,1,
42,straight.out,0.0,0.0,2.0,0.5,0.461538462,1.0,0.384615385,0.5,0.230769231,1.0,0.384615385,32.0,40.0,,,,,,,,,,,,,,,,,,,,
43,bent.out,1.0,0.0,6.0,0.833333333,0.245283019,1.0,0.41509434,1.0,0.358490566,0.833333333,0.226415094,33.0,35.0,86.0,106.0,137.0,140.0,,,,,,,,1,1,,,1,1,1,,
44,dry.out,0.0,0.0,3.0,1.0,0.25,1.0,0.5,0.666666667,0.125,1.0,0.375,38.0,76.0,146.0,,,,,,,,,,,,,,,,,,,
45,wet.out,1.0,0.0,2.0,0.5,0.055555556,1.0,0.5,1.0,0.277777778,1.0,0.222222222,20.0,76.0,,,,,,,,,,,,,,,,,1,1,,
46,healthy.out,0.0,0.0,4.0,1.0,0.346153846,1.0,0.538461538,0.5,0.153846154,0.75,0.307692308,124.0,137.0,145.0,146.0,,,,,,,,,,,,,,,,,,
47,sick.out,1.0,0.0,3.0,0.666666667,0.451612903,0.666666667,0.322580645,1.0,0.387096774,0.666666667,0.290322581,71.0,103.0,138.0,,,,,,,,,,,,,1,,,1,1,,
48,glad.out,0.0,0.0,3.0,0.0,0.0,0.666666667,0.470588235,0.666666667,0.176470588,1.0,0.352941176,3.0,26.0,29.0,,,,,,,,,,,,,,,,,,,
49,unhappy.out,1.0,0.0,4.0,0.5,0.25,1.0,0.458333333,0.75,0.25,0.75,0.291666667,3.0,29.0,57.0,137.0,,,,,,,,,,1,1,1,1,,1,1,,
